RECORD,Wdir_Avg,Wavg_Avg,Wmax_Max,Tair_Avg,RHum_Avg,Pair_Avg,Rintensity_Avg
1237003,254.3333,6.383333,8.4,4.5,77.6,989.4,0
1237004,269.3333,4.566667,5.7,4.5,77.5,989.4167,0
1237005,261.8333,5.266666,8.6,4.5,77.45,989.45,0
1237006,259.8333,4.533333,8.9,4.5,77.46667,989.4333,0
1237007,252.1667,5.949999,7.7,4.6,77.45,989.4,0
1237008,256.8333,7.316666,9.8,4.6,77.35,989.4666,0
1237009,261.1667,5.916667,8.6,4.6,77.3,989.5,0
1237010,253.8333,7.133333,9,4.683333,77.2,989.4666,0
1237011,249.3333,5.866666,9.1,4.7,76.98333,989.5166,0
1237012,259.6667,6.016666,9.2,4.7,76.9,989.5667,0
1237013,251,4.3,5.3,4.7,76.8,989.5999,0
1237014,258.3333,4.733333,7.3,4.7,76.88333,989.6166,0
1237015,260.5,4,5.5,4.7,77,989.7,0
1237016,257.3333,5.016667,7.9,4.7,77.14999,989.7,0
1237017,260.8333,4.433333,6,4.7,77.26667,989.7166,0
1237018,262.8333,4.55,5.6,4.7,77.38333,989.75,0
1237019,265.6667,5.8,7.9,4.7,77.45,989.7833,0
1237020,262,5.116666,8,4.7,77.48333,989.75,0
1237021,253.1667,5.116666,7.5,4.7,77.58333,989.75,0
1237022,254,4.133333,5.5,4.7,77.6,989.8,0
1237023,257.8333,5.616666,8.2,4.7,77.7,989.8,0
1237024,252.1667,5.833333,8.7,4.7,77.8,989.7833,0
1237025,263.8333,5.716667,9.4,4.7,77.83334,989.8,0
1237026,260,6.283333,8.1,4.7,77.98333,989.8,0
1237027,260,6.483333,10,4.8,78.01666,989.8333,0
1237028,250.8333,5.316667,7,4.8,78.05,989.8666,0
1237029,256,7.333333,9.6,4.8,78,989.9,0
1237030,250.8333,6.816666,9.5,4.8,77.96667,989.8833,0
1237031,243.5,5.449999,8.2,4.8,77.93333,989.9167,0
1237032,252.6667,5.616666,8,4.8,78.03333,989.95,0
1237033,257.1667,4.766666,6.2,4.8,78.1,990,0
1237034,254.1667,5.283333,8.3,4.8,78.2,990.0166,0
1237035,267.3333,5.666667,7.9,4.8,78.45,989.9833,0
1237036,258.1667,3.733333,5.8,4.8,78.5,990,0
1237037,267.5,4.183333,5.9,4.8,78.51666,990,0
1237038,248.6667,5.066667,8,4.716667,78.61666,990,0
1237039,252.3333,5.766666,7.7,4.7,78.7,990.05,0
1237040,249.5,5.316667,7.6,4.7,78.8,990.0333,0
1237041,257.8333,6,8.1,4.766667,78.8,990.0833,0
1237042,256.1667,4.483333,7.2,4.8,78.83334,990.0999,0
1237043,256.5,5.683333,8.3,4.716667,78.86667,990.1667,0
1237044,255.1667,4.833333,5.9,4.766667,79,990.1166,0
1237045,260,5.2,8,4.8,79,990.1667,0
1237046,248.1667,4.7,8.9,4.8,79.01666,990.15,0
1237047,259.1667,4.766667,6.4,4.8,79.1,990.2,0
1237048,251.3333,4.2,6,4.8,79.1,990.2,0
1237049,242.3333,4.9,7.2,4.766667,79.1,990.2,0
1237050,271.8333,3.066667,5.2,4.7,79.14999,990.2166,0
1237051,256.8333,4.15,6.9,4.7,79.25,990.2,0
1237052,253.3333,3.583333,6.2,4.7,79.3,990.2333,0
1237053,258.8333,3.483333,5.1,4.7,79.38333,990.3,0
1237054,257.1667,2.766666,4.5,4.7,79.4,990.3,0
1237055,260.1667,2.783333,4.6,4.7,79.43333,990.3,0
1237056,257.8333,2.916667,5.1,4.616666,79.56667,990.3,0
1237057,262.8333,3.916667,5.5,4.6,79.76667,990.3,0
1237058,276.8333,2.35,3.9,4.6,79.83334,990.3,0
1237059,290.1667,2.966666,5.9,4.6,79.8,990.3,0
1237060,282.6667,1.983333,4,4.6,79.83334,990.3,0
1237061,266.6667,2.6,3.6,4.6,79.81667,990.3,0
1237062,278.8333,2.616667,4.7,4.6,79.9,990.3,0
1237063,284.5,4.083333,6.6,4.6,79.9,990.2666,0
1237064,277.5,3.683333,5.3,4.6,79.8,990.3,0
1237065,298,3.033333,4.7,4.6,79.78333,990.3,0
1237066,273.1667,2.3,4.2,4.6,79.7,990.3,0
1237067,265.5,1.966667,3,4.6,79.73333,990.3,0
1237068,274.6667,2.883333,4.5,4.6,79.86667,990.3,0
1237069,282.5,2.4,4.1,4.6,79.98333,990.3,0
1237070,248.6667,3.05,5.3,4.6,80,990.2833,0
1237071,268.8333,3.483333,4.3,4.6,80.06667,990.3,0
1237072,275,2.6,4.5,4.6,80.06667,990.3,0
1237073,261.3333,2.85,5.5,4.6,80.01666,990.3,0
1237074,269.5,4.133333,5.4,4.6,80.1,990.3,0
1237075,275,2.866667,4.6,4.6,80.08333,990.3,0
1237076,276,3.433333,6.8,4.616666,80.08333,990.3,0
1237077,253.8333,3.666666,5.2,4.7,80,990.3,0
1237078,253,4.233333,5.4,4.7,79.96667,990.3,0
1237079,249.5,4.833333,6.1,4.7,79.86667,990.3,0
1237080,239.8333,3.733333,4.9,4.7,79.75,990.3,0
1237081,244.1667,3.616667,4.9,4.7,79.55,990.3,0
1237082,249.3333,3.633333,6.2,4.7,79.5,990.3,0
1237083,245.8333,2.6,3.6,4.7,79.5,990.3,0
1237084,253.6667,4.883333,6.5,4.7,79.58333,990.3,0
1237085,246.8333,4.183333,5.6,4.7,79.58333,990.3,0
1237086,257,3.683333,5.2,4.7,79.35,990.3167,0
1237087,250.8333,4.283333,6.7,4.7,79.3,990.2833,0
1237088,257.3333,4.65,6.9,4.7,79.2,990.3,0
1237089,266.6667,3.283333,4.6,4.766667,79.01666,990.3,0
1237090,250,4.35,5.9,4.783333,78.95,990.3,0
1237091,266.5,3.15,4.2,4.8,78.81667,990.3,0
1237092,263.3333,3.916667,5.6,4.8,78.78333,990.3167,0
1237093,256,2.733333,3.2,4.8,78.6,990.3,0
1237094,271.3333,3.233333,5.6,4.716667,78.53333,990.2666,0
1237095,252,6.683333,8.2,4.75,78.58333,990.1833,0
1237096,254.5,4.983333,7.1,4.8,78.3,990.2833,0
1237097,261.5,4.883333,6.6,4.833333,77.98333,990.2833,0
1237098,262.6667,4.216667,6.5,4.9,77.75,990.2833,0
1237099,269,4.516666,6.3,4.866667,77.78333,990.2333,0
1237100,255.3333,5.766666,9.8,4.9,77.81667,990.2,0
1237101,264.5,5.85,8.2,4.9,77.75,990.2833,0
1237102,273,5.699999,8,4.9,77.6,990.25,0
1237103,253.8333,3.416666,4.8,5,77.4,990.2166,0
1237104,266.3333,5.2,6.2,5,77.53333,990.2,0
1237105,259.8333,5.166667,6.6,5,77.6,990.25,0
1237106,277.6667,3.833333,6.2,5,77.58333,990.2333,0
1237107,254.5,5.966667,8.1,5.016666,77.6,990.2833,0
1237108,260.8333,4.033333,5.4,5.1,77.61666,990.2833,0
1237109,267.6667,4.383333,6,5.1,77.55,990.2666,0
1237110,268,5.633333,7.9,5.1,77.6,990.3,0
1237111,262.6667,4.566667,6.7,5.1,77.48333,990.3,0
1237112,268.5,4.733333,6.3,5.1,77.61666,990.2833,0
1237113,273.8333,4.033333,5.8,5.2,77.53333,990.3,0
1237114,255.6667,4.366666,6.8,5.2,77.6,990.3,0
1237115,263.1667,4.533333,6.4,5.2,77.58333,990.3,0
1237116,265.1667,3.783333,5.7,5.2,77.56667,990.3167,0
1237117,259,4.416667,6.5,5.15,77.58333,990.3,0
1237118,261.3333,3.9,7.1,5.1,77.6,990.3333,0
1237119,261.5,4.583333,7.1,5.1,77.7,990.3833,0
1237120,268,4.9,6.8,5.1,77.76666,990.3833,0
1237121,262.8333,4.2,6.5,5.1,77.9,990.3499,0
1237122,256.8333,5.283333,8.9,5.1,78,990.3499,0
1237123,257.1667,4.35,7.7,5.1,78.08333,990.3499,0
1237124,255.5,4.483333,6.5,5.066667,78.08333,990.3333,0
1237125,259.1667,4.266666,6.1,5,78.16666,990.4,0
1237126,247.1667,4.933333,7.8,5,78.36667,990.3833,0
1237127,252,5.083333,7.8,5,78.4,990.3499,0
1237128,252.8333,4.483333,5.8,5,78.41666,990.4,0
1237129,252.6667,4.833333,7.8,5,78.46667,990.4,0
1237130,252,5.583333,7.9,5,78.43333,990.3666,0
1237131,254.3333,6.4,8.7,5,78.56667,990.4,0
1237132,259.5,4.433333,6.6,5,78.6,990.4,0
1237133,249.8333,5,6.6,5,78.65,990.4167,0
1237134,260.8333,5.633333,7.5,5,78.81667,990.4666,0
1237135,257.3333,6.55,9.1,5,78.9,990.4167,0
1237136,241.8333,5.1,7.3,5,78.91666,990.4,0
1237137,242,3.933333,6,5,79.01666,990.4333,0
1237138,256.8333,4.266666,6.3,5,79.08333,990.4666,0
1237139,257.1667,4.483333,6.7,5,79.28333,990.4666,0
1237140,255.6667,5.05,7,5,79.36667,990.5,0
1237141,257.3333,7.633333,8.9,5,79.3,990.5,0
1237142,248.8333,5.883333,7.5,5.05,79.14999,990.4666,0
1237143,253.8333,5.233333,6.9,5.1,79.11666,990.5,0
1237144,248.5,4.65,5.8,5.1,79.13333,990.5,0
1237145,259.5,4.783333,8.6,5.1,79.1,990.5,0
1237146,252.8333,4.416667,6.7,5.1,79.1,990.5,0
1237147,247.3333,4.416667,6.4,5.05,79.16666,990.5,0
1237148,252.1667,4.166667,5.6,5,79.28333,990.5,0
1237149,244.1667,4.433333,7.3,5,79.4,990.5,0
